Albany, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
194412,23.5,-3.7
194501,13.6,-8.6
194502,24.5,0.2
194503,43.4,9.3
194504,50.6,4.1
194505,53.1,-5.0
194506,65.2,-1.8
194507,69.5,-2.3
194508,68.7,-0.9
194509,64.4,2.8
194510,48.3,-2.2
194511,39.0,-0.5
194512,20.9,-6.3
194601,23.7,1.5
194602,21.5,-2.8
194603,43.4,9.3
194604,44.3,-2.2
194605,54.8,-3.3
194606,64.3,-2.7
194607,70.5,-1.3
194608,65.6,-4.0
194609,63.5,1.9
194610,54.0,3.5
194611,42.6,3.1
194612,28.4,1.2
194701,25.8,3.6
194702,21.3,-3.0
194703,31.9,-2.2
194704,43.3,-3.2
194705,56.7,-1.4
194706,64.8,-2.2
194707,72.1,0.3
194708,73.9,4.3
194709,63.4,1.8
194710,56.9,6.4
194711,35.6,-3.9
194712,22.5,-4.7
194801,15.3,-6.9
194802,18.2,-6.1
194803,31.8,-2.3
194804,46.8,0.3
194805,56.1,-2.0
194806,65.1,-1.9
194807,71.0,-0.8
194808,70.9,1.3
194809,63.0,1.4
194810,48.6,-1.9
194811,45.0,5.5
194812,29.1,1.9
194901,28.8,6.6
194902,29.2,4.9
194903,35.5,1.4
194904,48.5,2.0
194905,57.8,-0.3
194906,72.0,5.0
194907,75.2,3.4
194908,71.6,2.0
194909,58.6,-3.0
194910,54.8,4.3
194911,37.0,-2.5
194912,29.7,2.5
195001,31.0,8.8
195002,20.4,-3.9
195003,27.1,-7.0
195004,43.0,-3.5
195005,57.5,-0.6
195006,66.0,-1.0
195007,69.9,-1.9
195008,68.5,-1.1
195009,58.1,-3.5
195010,52.5,2.0
195011,41.2,1.7
195012,25.4,-1.8
195101,25.8,3.6
195102,27.0,2.7
195103,35.2,1.1
195104,47.6,1.1
195105,58.7,0.6
195106,65.9,-1.1
195107,71.4,-0.4
195108,68.2,-1.4
195109,60.1,-1.5
195110,51.5,1.0
195111,33.7,-5.8
195112,27.0,-0.2
195201,26.2,4.0
195202,27.0,2.7
195203,32.4,-1.7
195204,50.2,3.7
195205,54.3,-3.8
195206,68.0,1.0
195207,74.7,2.9
195208,69.9,0.3
195209,62.0,0.4
195210,46.5,-4.0
195211,39.8,0.3
195212,30.1,2.9
195301,29.2,7.0
195302,28.8,4.5
195303,36.7,2.6
195304,46.6,0.1
195305,60.0,1.9
195306,68.5,1.5
195307,72.0,0.2
195308,69.4,-0.2
195309,62.1,0.5
195310,52.3,1.8
195311,42.1,2.6
195312,33.4,6.2
195401,18.4,-3.8
195402,31.3,7.0
195403,34.3,0.2
195404,48.4,1.9
195405,55.2,-2.9
195406,67.6,0.6
195407,70.3,-1.5
195408,66.9,-2.7
195409,60.4,-1.2
195410,54.7,4.2
195411,39.6,0.1
195412,27.8,0.6
195501,21.1,-1.1
